"Lager","Lagerplatz","Artikelnummer","Typ","Artikelbeschreibung","Chargennummer","Menge","Einheit","Listenpreis","EK-Preis","Preisfaktor","Bestandswert","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"B-379","IDE-0001","005843","W","Maxtor DiamondMax Plus 9 6Y080L04226P1","","1","Stck","0.00","0.00","","0.00","","Maxtor","150","100","30","","","","","","","",""
"B-379","IDE-0001","005844","W","Maxtor DiamondMax 10 6L300R0061M11","","1","Stck","0.00","0.00","","0.00","","Maxtor","145","100","25","","","","","","","",""
"B-379","IDE-0001","005845","W","Maxtor 34098H4","","1","Stck","0.00","0.00","","0.00","","Maxtor","150","120","25","","","","","","","",""
"B-379","IDE-0001","005846","W","ExcelStor J8160 160GB","","2","Stck","0.00","0.00","","0.00","","ExcelStor","150","120","25","","","","","","","",""
"B-379","IDE-0001","005848","W","Western Digital WD2000BB-22GUA0","","1","Stck","0.00","0.00","","0.00","","","150","120","25","","","","","","","",""
"B-379","IDE-0001","005849","W","Western Digital WD2500JB-00EVA0 250GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","120","25","","","","","","","",""
"B-379","IDE-0001","005851","W","Western Digital WD1600AVJB-63SZA0_160GB","","2","Stck","0.00","0.00","","0.00","","WesternDigital","150","105","25","","","","","","","",""
"B-379","SATA-0002","005852","W","Western Digital WD1600JS-08NCB1","","1","Stck","0.00","0.00","","0.00","","WesternDigital","146","101.5","26","","","","","","","",""
"B-379","SATA-0001","005893","W","Samsung HD161HJ/L 160GB","","1","Stck","0.00","0.00","","0.00","","Samsung","145","102","25.4","","","","","","","",""
"B-379","SATA-0005","005893","W","Samsung HD161HJ/L 160GB","","1","Stck","0.00","0.00","","0.00","","Samsung","145","102","25.4","","","","","","","",""
"B-379","SATA-0001","005894","W","Swisscom Pronto11","","1","Stck","0.00","0.00","","0.00","","Swisscom","170","170","70","","","","","","","",""
"B-379","SATA-0001","005895","W","WD WD1500HLFS-01G6U1 150GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","100","25","","","","","","","",""
"B-379","SATA-0001","005896","W","WD WD6000HLHX-01JJPV0 600GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","100","25","","","","","","","",""
"B-379","IDE-0001","005898","W","Maxtor_6E040L0510233 40GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","146","102","26","","","","","","","",""
"B-379","IDE-0001","005899","W","Maxtor 6E040L0510605 40GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","146","102","26","","","","","","","",""
"B-379","IDE-0002","005900","W","Western Digital WD800BB-75FJA1 80GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","IDE-0001","005901","W","Seagate ST340823A 40GB","","1","Stck","0.00","0.00","","0.00","","Seagate","150","100","25","","","","","","","",""
"B-379","IDE-0002","005909","W","WESTERN DIGITAL WD200BB-60CVB0 20GB","","2","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SAS-0001","005913","W","WD WD2001FYYG-01SL3W1 2TB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","100","25","","","","","","","",""
"B-379","SATA-0001","005943","W","Western Digital Caviar WD5000AAKS-75YGA0 500GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","IDE-0002","005944","W","Maxtor 6Z160P0042811 160GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","SATA-0001","005998","W","Hitachi HDT725050VLA360 500GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","150","100","25","","","","","","","",""
"B-379","IDE-0001","005999","W","Seagate ST320420A 20GB","","1","Stck","0.00","0.00","","0.00","","Seagate","150","120","25","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","006054","W","Cisco SPA112","","1","Stck","0.00","0.00","","0.00","","Cisco","100","100","30","","Telefon-Adapter zur Nutzung von Analog-Telefonapparaten mit Internet-Telefonie - max. Anzahl angeschlossene Telefonapparate 2 - Anzahl SIP Accounts 2 Telefontyp VoIP Telefon","","","","","",""
"B-379","SATA-0001","006055","W","Western Digital WD1602ABKS70N8A0 160GB","","3","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SCSI-0002","006068","W","HP SCSI Ultra320 15k 72,8GB","","1","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SCSI-0001","006069","W","SEAGATE ST15150N 4,3GB","","1","Stck","0.00","0.00","","0.00","","Seagate","150","100","40","","","","","","","",""
"B-379","SCSI-0001","006070","W","(IBM) HDD SCSI DFRS 4GB","","1","Stck","0.00","0.00","","0.00","","","150","100","40","","","","","","","",""
"B-379","SCSI-0001","006071","W","(IBM) HDD SCSI DCHS 4GB","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","150","100","40","","","","","","","",""
"B-379","SCSI-0002","006080","W","COMPAQ SCSI BD0765A22 73GB","","1","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SATA-0002","006095","W","Western Digital WD6401AALS-00L3B2","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","SAS-0001","006096","W","HGST HUH728080AL5200","","5","Stck","0.00","0.00","","0.00","","HGST","145","100","25","","","","","","","",""
"B-379","SATA-0002","006097","W","Hewlett Packard ST1000nm0008","","2","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SAS-0001","006101","W","HP DF146BB6C2","","4","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SATA-0005","006102","W","TOSHIBA HDKPC01H0AO1","","1","Stck","0.00","0.00","","0.00","","Toshiba","0","0","0","","","","","","","",""
"B-379","SAS-0001","006103","W","SEAGATE Exos 7E8 ST4000NM0025","","8","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0005","006105","W","Toshiba HDKPC01H0A01 S","","1","Stck","0.00","0.00","","0.00","","Toshiba","0","0","0","","","","","","","",""
"B-379","SATA-0005","006106","W","Western Digital WD1600HLFS-75G6U1","","2","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0002","006107","W","Maxtor E-H011-02-3427","","1","Stck","0.00","0.00","","0.00","","Maxtor","145","100","0","","","","","","","",""
"B-379","IDE-0002","006109","W","Maxtor 92049U6","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0002","006110","W","Maxtor Diamondmax Plus9 6Y080L0422031","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006113","W","Quantum XP31070","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006114","W","IBM Ultrastar DDYS-T18350","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006115","W","Quantum ATLAS IV KN00L881","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006116","W","HP D8608-60103","","1","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006117","W","quantum atlas III TD91W011","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006119","W","Quantum Atlas 10K III KW73L017","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006120","W","Seagate ST336753LW","","2","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006121","W","IBM DPES-30540","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006126","W","Seagate Cheetah Ultra320 ST373307LC","","5","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006127","W","Seagate Cheeteh 10K.7 ST373207LC","","1","Stck","0.00","0.00","","0.00","","Seagate","145","102","27","","","","","","","",""
"B-379","SCSI-0003","006128","W","Compaq BD01864544","","2","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006129","W","IBM DDRS-34560 E182115 s","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006130","W","HITACHI HUS151436VL3800","","1","Stck","0.00","0.00","","0.00","","Hitachi","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006131","W","HITACHI HUS151473VL3800","","1","Stck","0.00","0.00","","0.00","","Hitachi","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006132","W","HP BD14685A26","","1","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006133","W","Seagate Cheetah Ultra320 ST3146807LC","","1","Stck","0.00","0.00","","0.00","","Seagate","150","105","0","","","","","","","",""
"B-379","SCSI-0003","006134","W","HP BD07289BB8","","1","Stck","0.00","0.00","","0.00","","HP / Compaq","150","105","25","","","","","","","",""
"B-379","SCSI-0003","006135","W","COMPAQ BD07265A22","","1","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006136","W","Seagate ST118202LC","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006137","W","Fujitsu MAN3184MC","","1","Stck","0.00","0.00","","0.00","","Fujitsu / Fujitsu-Siemens / Siemens","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006138","W","Apple Hard Disk 40SC E478J5","","1","Stck","0.00","0.00","","0.00","","Apple","0","0","0","","","","","","","",""
"B-379","SCSI-0003","006139","W","APPLE Quantum F/W: 1994 655-0253 A","","1","Stck","0.00","0.00","","0.00","","Apple","0","0","0","","","","","","","",""
"B-379","IDE-0001","K1099","W","silitest2","","1","Stck","0.00","0.00","","0.00","","3Com","","","","","","","","","","",""
"Gesamter Bestandswert","","","","","","","","","","","0.00","","","","","","","","","","","","",""
